memberID,groupID,joinDate,gradDate
138,37,2015/1/2,2017/12/6
141,37,2015/1/2,2017/9/6
153,37,2015/1/2,2020/3/30
159,37,2015/1/2,2020/3/30
164,37,2015/1/2,2017/7/6
186,37,2015/1/2,2020/3/30
187,37,2015/1/2,2020/3/30
193,18,2015/3/1,2018/10/18
194,18,2015/4/27,2016/7/15
195,18,2015/4/27,2015/11/4
196,18,2015/4/27,2017/2/21
197,18,2015/4/27,2017/2/21
198,18,2015/4/27,2018/10/18
199,18,2015/4/27,2016/9/1
200,18,2015/4/27,2018/9/1
201,18,2015/4/27,2015/11/1
154,38,2015/4/29,
160,38,2015/4/29,
173,38,2015/4/29,
184,38,2015/4/29,
188,38,2015/4/29,2020/12/28
189,38,2015/4/29,
170,5,2015/11/5,2019/12/26
195,5,2015/11/5,2019/3/11
202,33,2015/11/11,
203,18,2016/1/15,2018/10/18
204,18,2016/1/15,2018/12/1
205,18,2016/1/15,2019/9/1
206,18,2016/1/15,2019/3/1
207,18,2016/1/15,
194,33,2016/7/16,
208,39,2016/7/30,2019/6/21
209,39,2016/7/30,2018/11/22
210,39,2016/7/30,2019/6/13
211,39,2016/7/30,2019/9/1
212,39,2016/7/30,
213,39,2016/7/30,2021/03/16
214,39,2016/7/30,2018/4/1
185,38,2016/8/13,
196,38,2016/8/13,
197,38,2016/8/13,
215,18,2016/8/17,2016/12/11
216,18,2016/8/17,2017/6/25
217,18,2016/8/17,2019/7/2
218,18,2016/8/17,2018/10/18
219,18,2016/8/17,2018/10/18
220,18,2016/8/17,2017/3/1
157,1,2016/12/12,
215,1,2016/12/12,
221,18,2017/3/6,2019/6/13
222,18,2017/3/6,2018/10/18
223,18,2017/3/6,2018/10/18
224,18,2017/3/6,2018/10/18
225,18,2017/3/6,2018/12/1
226,18,2017/3/6,2018/12/1
227,18,2017/3/6,
228,18,2017/3/6,
181,1,2017/6/26,
170,33,2017/6/26,2020/12/9
216,33,2017/6/26,
195,36,2017/6/26,2019/3/11
171,36,2017/6/26,
229,18,2017/12/10,2020/11/1
230,18,2017/12/10,2018/4/1
231,18,2017/12/10,2018/3/1
232,18,2017/12/10,
233,18,2017/12/10,2019/9/1
234,18,2017/12/10,2019/12/1
235,18,2017/12/10,
163,36,2018/6/13,
161,40,2018/10/19,
218,40,2018/10/19,
222,40,2018/10/19,
223,40,2018/10/19,
193,40,2018/10/19,
203,40,2018/10/19,
198,40,2018/10/19,
219,40,2018/10/19,
224,40,2018/10/19,
161,41,2018/10/19,
218,41,2018/10/19,
222,41,2018/10/19,
223,41,2018/10/19,
193,42,2018/10/19,
203,42,2018/10/19,
198,42,2018/10/19,
219,42,2018/10/19,
224,42,2018/10/19,
237,18,2018/11/1,
238,18,2018/11/1,2019/4/1
239,18,2018/11/1,
209,33,2018/11/23,2020/10/13
236,33,2018/11/23,
240,40,2018/12/3,
241,40,2018/12/3,
242,40,2018/12/3,
210,36,2019/6/14,
221,36,2019/6/14,
208,1,2019/6/22,
243,1,2019/6/22,
244,1,2019/6/22,
217,33,2019/7/3,
245,18,2019/8/2,
246,18,2019/8/2,
247,18,2019/8/2,
248,18,2019/8/2,
249,18,2019/8/2,
250,18,2019/8/2,
251,18,2019/8/2,
252,18,2019/8/2,
253,18,2019/8/2,
254,39,2019/8/2,2020/4/19
255,39,2019/12/3,2021/03/16
256,39,2019/12/3,2020/4/19
187,36,2020/4/1,
229,33,2020/11/2,
257,33,2020/11/2,
258,33,2020/11/2,
259,18,2020/11/4,
260,18,2020/11/4,
240,43,2021/1/24,
241,43,2021/1/24,
242,43,2021/1/24,
